"id","filename","ident","name","type","frequency_khz","latitude_deg","longitude_deg","elevation_ft","iso_country","dme_frequency_khz","dme_channel","dme_latitude_deg","dme_longitude_deg","dme_elevation_ft","slaved_variation_deg","magnetic_variation_deg","usageType","power","associated_airport"
93385,"Sarajevo_VORTAC_BA","SAR","Sarajevo","VORTAC",108850,43.824798583984375,18.3341007232666,1708,"BA",108850,"025Y",,,,2.002,2.566,"TERMINAL","HIGH","LQSA"
93387,"San_Antonio_VORTAC_US","SAT","San Antonio","VORTAC",116800,29.643999099731445,-98.4613037109375,1160,"US",116800,"115X",,,,8.012,5.371,"BOTH","HIGH",
93389,"Eleftherios_Venizelos_VOR-DME_GR","SAT","Eleftherios Venizelos","VOR-DME",109600,37.91669845581055,23.914199829101562,255,"GR",109600,"033X",,,,,3.183,"TERMINAL","LOW","LGAV"
93390,"Satu_Mare_VOR-DME_RO","SAT","Satu Mare","VOR-DME",108400,47.72740173339844,22.89389991760254,405,"RO",108400,"021X",,,,3.007,4.108,"LO","HIGH","LRSM"
93393,"Sauveterre_VOR_FR","SAU","Sauveterre","VOR",116800,44.67679977416992,-0.15291699767112732,385,"FR",,,,,,-3.007,-1.287,"BOTH","HIGH",
93394,"Sausalito_VORTAC_US","SAU","Sausalito","VORTAC",116200,37.85530090332031,-122.52300262451172,1040,"US",116200,"109X",,,,17.001,14.474,"BOTH","MEDIUM","JMC"
93395,"Siauliai_VOR-DME_LT","SAU","Siauliai","VOR-DME",115200,55.87900161743164,23.416400909423828,472,"LT",115200,"099X",,,,5.008,5.366,"BOTH","HIGH","EYSA"
93396,"Savannah_VORTAC_US","SAV","Savannah","VORTAC",115950,32.14630126953125,-81.1990966796875,9,"US",115950,"106Y",,,,-6.001,-6.06,"BOTH","HIGH","KSAV"
93397,"Salinas_VOR-DME_EC","SAV","Salinas","VOR-DME",114100,-2.219719886779785,-80.97329711914062,41,"EC",114100,"088X",,,,2.007,0.207,"BOTH","HIGH","SESA"
93398,"Saverne_VOR-DME_FR","SAV","Saverne","VOR-DME",110450,48.796199798583984,7.447979927062988,831,"FR",110450,"041Y",,,,1.007,0.299,"BOTH","HIGH","LFST"
93399,"Savannakhet_VOR-DME_LA","SAV","Savannakhet","VOR-DME",113500,16.56170082092285,104.76599884033203,459,"LA",113500,"082X",,,,0.007,-0.434,"BOTH","HIGH","VLSK"
93402,"Sawyer_VOR-DME_US","SAW","Sawyer","VOR-DME",117100,46.3588981628418,-87.39720153808594,1220,"US",117100,"118X",,,,-4.008,-4.274,"BOTH","HIGH","KSAW"
93403,"Sparta_VORTAC_US","SAX","Sparta","VORTAC",115700,41.067501068115234,-74.53829956054688,1410,"US",115700,"104X",,,,-11.002,-12.589,"BOTH","HIGH",
93420,"Subic_Bay_VOR-DME_PH","SBA","Subic Bay","VOR-DME",113500,14.769599914550781,120.2249984741211,158,"PH",113500,"082X",,,,0.007,-1.196,"BOTH","HIGH","RPLB"
93423,"Salzburg_VOR-DME_AT","SBG","Salzburg","VOR-DME",113800,48.002601623535156,12.892800331115723,1494,"AT",113800,"085X",48.0024,12.8929,1494,0.007,1.583,"BOTH","HIGH","LOWS"
93427,"Sabiha_Gokcen_VOR-DME_TR","SBH","Sabiha Gokcen","VOR-DME",108800,40.89970016479492,29.32040023803711,328,"TR",108800,"025X",,,,,4.175,"TERMINAL","MEDIUM","LTFJ"
93429,"Sabine_Pass_VOR-DME_US","SBI","Sabine Pass","VOR-DME",115400,29.68670082092285,-94.03800201416016,10,"US",115400,"101X",,,,7.008,3.058,"BOTH","MEDIUM",
93431,"Solberg_VOR-DME_US","SBJ","Solberg","VOR-DME",112900,40.58300018310547,-74.74169921875,190,"US",112900,"076X",,,,-10.002,-12.419,"BOTH","MEDIUM",
93434,"Surabaya_VOR-DME_ID","SBR","Surabaya","VOR-DME",113400,-7.3739399909973145,112.77100372314453,9,"ID",113400,"081X",,,,0.007,1.252,"BOTH","HIGH","WARR"
93437,"South_Boston_VORTAC_US","SBV","South Boston","VORTAC",110400,36.67499923706055,-79.0145034790039,530,"US",110400,"041X",,,,-5.001,-8.418,"LO","MEDIUM",
93439,"Salisbury_VORTAC_US","SBY","Salisbury","VORTAC",111200,38.345001220703125,-75.5105972290039,50,"US",111200,"049X",,,,-12.001,-11.318,"BOTH","MEDIUM","KSBY"
93441,"Sabzevar_VOR-DME_IR","SBZ","Sabzevar","VOR-DME",117000,36.1697998046875,57.57099914550781,3010,"IR",117000,"117X",,,,3.001,3.496,"BOTH","HIGH","OIMS"
93449,"Sorocaba_VOR-DME_BR","SCB","Sorocaba","VOR-DME",115200,-23.506999969482422,-47.37820053100586,2018,"BR",115200,"099X",,,,-18.007,-19.301,"BOTH","HIGH","SDCO"
93450,"Scribner_VOR-DME_US","SCB","Scribner","VOR-DME",111000,41.60530090332031,-96.62860107421875,1317,"US",111000,"047X",41.6053,-96.6286,1317,6.009,4.194,"TERMINAL","LOW",
93452,"Deadhorse_VOR-DME_US","SCC","Deadhorse","VOR-DME",113900,70.19920349121094,-148.41600036621094,74,"US",113900,"086X",,,,31.001,24.275,"BOTH","HIGH","PASC"
93454,"Shache_VOR-DME_CN","SCH","Shache","VOR-DME",113300,38.42829895019531,77.23999786376953,4052,"CN",113300,"080X",,,,,3.029,"BOTH","HIGH",
93455,"Sokcho_VOR-DME_KR","SCH","Sokcho","VOR-DME",111000,38.14780044555664,128.6009979248047,49,"KR",111000,"047X",,,,-8.011,-8.083,"BOTH","LOW","KR-1080"
93458,"Pisco_VOR-DME_PE","SCO","Pisco","VOR-DME",114100,-13.738900184631348,-76.21309661865234,100,"PE",114100,"088X",,,,,-0.04,"LO","MEDIUM","SPSO"
93646,"Sao Jose_VOR-DME_BR","SCP","Sao Jose","VOR-DME",112800,-23.2463,-45.854198,2120,"BR",112800,"075X",,,,,-20.2,"BOTH","HIGH","SBSJ"
93462,"Santa_Cruz_VOR-DME_BR","SCR","Santa Cruz","VOR-DME",113600,-22.949600219726562,-43.727699279785156,5,"BR",113600,"083X",,,,-21.007,-21.236,"BOTH","HIGH","SBSC"
93467,"San_Cristobal_VOR-DME_EC","SCV","San Cristobal","VOR-DME",113100,-0.9061110019683838,-89.61920166015625,63,"EC",113100,"078X",,,,,4.441,"BOTH","HIGH","SEST"
93468,"Suceava_VOR-DME_RO","SCV","Suceava","VOR-DME",112300,47.672298431396484,26.36079978942871,1302,"RO",112300,"070X",,,,,4.512,"BOTH","HIGH","LRSV"
93474,"Seida_VOR-DME_NO","SDA","Seida","VOR-DME",113600,70.23429870605469,28.070199966430664,941,"NO",113600,"083X",,,,10.007,11.453,"BOTH","HIGH",
